Date,Price,Open,High,Low,Vol.,Change %,,
04/01/2020,5597.70,5110.60,5623.00,"5,063.50",27.37B,9.53%,,
03/01/2020,5110.60,6501.30,6598.80,"4,429.10",43.76B,-21.51%,,
02/01/2020,6511.50,7121.20,7289.70,"6,498.80",22.45B,-8.56%,,
01/01/2020,7121.20,6802.40,7260.00,"6,789.40",14.92B,4.69%,,
12/01/2019,6802.40,6948.00,6990.40,"6,700.20",15.34B,-2.10%,,
11/01/2019,6948.00,6772.90,6996.00,"6,743.80",18.11B,2.59%,,
10/01/2019,6772.90,6800.60,6867.50,"6,594.60",18.48B,-0.41%,,
09/01/2019,6800.60,6698.20,6883.10,"6,605.40",21.29B,1.53%,,
08/01/2019,6698.20,6896.70,6896.70,"6,476.70",21.62B,-2.88%,,
07/01/2019,6896.70,6699.20,6958.70,"6,699.20",18.84B,2.95%,,
06/01/2019,6699.20,6491.80,6773.40,"6,401.00",19.28B,3.19%,,
05/01/2019,6491.80,6418.40,6598.30,"6,289.60",19.72B,1.14%,,
04/01/2019,6418.40,6261.70,6477.90,"6,258.80",14.34B,2.50%,,
03/01/2019,6261.70,6252.70,6350.80,"6,181.10",19.63B,0.14%,,
02/01/2019,6252.70,5937.30,6267.70,"5,924.50",18.53B,5.31%,,
01/01/2019,5937.30,5709.40,5979.90,"5,620.30",13.99B,3.99%,,
12/01/2018,5709.40,5749.30,5856.30,"5,478.40",16.02B,-0.69%,,
11/01/2018,5749.30,5913.30,6027.20,"5,675.90",18.93B,-2.77%,,
10/01/2018,5913.30,6325.50,6325.50,"5,721.60",20.12B,-6.52%,,
09/01/2018,6325.50,6427.80,6441.30,"6,211.60",17.68B,-1.59%,,
08/01/2018,6427.80,6366.20,6481.30,"6,323.00",19.89B,0.97%,,
07/01/2018,6366.20,6289.70,6394.30,"6,265.20",15.86B,1.22%,,
06/01/2018,6289.70,6123.50,6347.80,"6,086.80",23.53B,2.71%,,
05/01/2018,6123.50,6071.60,6245.90,"6,067.90",20.28B,0.85%,,
04/01/2018,6071.60,5868.90,6079.30,"5,834.00",16.56B,3.45%,,
03/01/2018,5868.90,6117.30,6130.70,"5,861.90",18.59B,-4.06%,,
02/01/2018,6117.30,6146.50,6229.80,"5,887.30",17.74B,-0.48%,,
01/01/2018,6146.50,6167.30,6256.50,"6,103.90",16.60B,-0.34%,,
12/01/2017,6167.30,6057.20,6193.00,"6,023.50",15.67B,1.82%,,
11/01/2017,6057.20,5976.40,6124.70,"5,976.40",17.55B,1.35%,,
10/01/2017,5976.40,5744.90,6003.20,"5,717.70",16.72B,4.03%,,
09/01/2017,5744.90,5776.30,5835.70,"5,702.20",16.96B,-0.54%,,
08/01/2017,5776.30,5773.90,5852.70,"5,711.70",20.61B,0.04%,,
07/01/2017,5773.90,5764.00,5846.20,"5,705.60",17.01B,0.17%,0.49%,7 years
06/01/2017,5764.00,5761.30,5863.80,"5,670.70",19.75B,0.05%,,
05/01/2017,5761.30,5947.60,5976.40,"5,720.50",20.37B,-3.13%,,
04/01/2017,5947.60,5903.80,5983.20,"5,826.70",15.75B,0.74%,,
03/01/2017,5903.80,5761.00,5937.20,"5,724.10",20.82B,2.48%,,
02/01/2017,5761.00,5675.00,5880.90,"5,635.10",17.93B,1.52%,,
01/01/2017,5675.00,5720.70,5876.80,"5,661.20",13.98B,-0.77%,,
12/01/2016,5719.10,5502.40,5746.70,"5,443.50",16.35B,3.94%,,
11/01/2016,5502.40,5402.40,5583.50,"5,138.90",19.41B,1.85%,,
10/01/2016,5402.40,5525.20,5578.90,"5,347.30",15.67B,-2.22%,,
09/01/2016,5525.20,5529.40,5560.70,"5,294.10",18.35B,-0.08%,,
08/01/2016,5529.40,5644.00,5691.80,"5,510.20",17.85B,-2.03%,,
07/01/2016,5644.00,5310.40,5650.80,"5,237.80",15.68B,6.28%,0.52%,8 years
06/01/2016,5310.40,5447.80,5461.00,"5,131.90",18.47B,-2.52%,,
05/01/2016,5447.80,5316.00,5489.80,"5,253.20",18.53B,2.48%,,
04/01/2016,5316.00,5151.80,5342.90,"4,975.70",15.68B,3.19%,,
03/01/2016,5151.80,4947.90,5272.10,"4,936.60",20.74B,4.12%,,
02/01/2016,4947.90,5056.60,5122.10,"4,762.10",20.81B,-2.15%,,
01/01/2016,5056.60,5344.60,5379.60,"4,857.90",14.54B,-5.39%,,
12/01/2015,5344.60,5218.20,5372.00,"4,963.90",16.79B,2.42%,,
11/01/2015,5218.20,5288.60,5361.40,"5,041.60",17.85B,-1.33%,,
10/01/2015,5288.60,5058.60,5420.60,"5,058.60",16.76B,4.55%,,
09/01/2015,5058.60,5222.10,5236.90,"4,958.10",19.85B,-3.13%,,
08/01/2015,5222.10,5681.70,5710.80,"4,936.30",18.81B,-8.09%,,
