"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2024","7,994.20","8,076.70","8,076.70","7,987.40","997.65M","-1.02%"
"08/05/2024","8,076.70","8,065.50","8,084.50","8,059.60","924.35M","0.14%"
"07/05/2024","8,065.50","7,952.30","8,065.50","7,952.30","1.14B","1.42%"
"06/05/2024","7,952.30","7,897.50","7,953.40","7,897.50","919.01M","0.69%"
"03/05/2024","7,897.50","7,849.40","7,907.00","7,849.40","1.13B","0.61%"
"02/05/2024","7,849.40","7,831.90","7,875.40","7,831.90","1.24B","0.22%"
"01/05/2024","7,831.90","7,932.00","7,932.00","7,818.90","1.04B","-1.26%"
"30/04/2024","7,932.00","7,906.60","7,932.00","7,893.30","1.25B","0.32%"
"29/04/2024","7,906.60","7,837.40","7,913.40","7,837.40","1.03B","0.88%"
"26/04/2024","7,837.40","7,937.50","7,937.50","7,829.40","977.08M","-1.26%"
"24/04/2024","7,937.50","7,937.90","7,979.40","7,933.20","1.03B","-0.01%"
"23/04/2024","7,937.90","7,902.00","7,946.70","7,901.50","971.27M","0.45%"
"22/04/2024","7,902.00","7,817.40","7,927.90","7,817.40","1.00B","1.08%"
"19/04/2024","7,817.40","7,898.90","7,898.90","7,743.30","1.27B","-1.03%"
"18/04/2024","7,898.90","7,861.00","7,912.80","7,861.00","1.03B","0.48%"
"17/04/2024","7,861.00","7,862.30","7,891.20","7,847.70","1.06B","-0.02%"
"16/04/2024","7,862.30","8,009.40","8,009.40","7,836.80","1.67B","-1.84%"
"15/04/2024","8,009.40","8,050.20","8,050.60","7,991.20","1.13B","-0.51%"
"12/04/2024","8,050.20","8,074.10","8,074.10","8,028.40","1.14B","-0.30%"
"11/04/2024","8,074.10","8,109.70","8,109.70","8,011.30","1.03B","-0.44%"
"10/04/2024","8,109.70","8,081.20","8,129.40","8,081.20","1.05B","0.35%"
"09/04/2024","8,081.20","8,044.90","8,091.10","8,044.90","1.04B","0.45%"
"08/04/2024","8,044.90","8,026.00","8,057.70","8,022.30","1.01B","0.24%"
"05/04/2024","8,026.00","8,072.50","8,072.50","7,995.60","1.03B","-0.58%"
"04/04/2024","8,072.50","8,033.60","8,086.60","8,033.60","1.21B","0.48%"
"03/04/2024","8,033.60","8,145.80","8,152.70","8,022.20","1.13B","-1.38%"
"02/04/2024","8,145.80","8,153.70","8,168.00","8,127.70","1.21B","-0.10%"
"28/03/2024","8,153.70","8,073.60","8,154.10","8,073.60","1.28B","0.99%"
"27/03/2024","8,073.60","8,036.70","8,073.60","8,029.20","1.13B","0.46%"
